 section index, x coordinate [mm], halpha [W/m^2/K], halpha_c [W/m^2/K], q_rad [W/m^2], q_total [W/m^2], T_wall_i [K], T_coolant [K], P_coolant [Pa], Re_coolant, v_coolant [m/s], T_hg (cinjarev) [K]
0,-92.23590898655448,902.4291112752543,13256.9932080754,946655.6487793166,3036220.454607131,783.7025356049351,621.7886191183582,4578544.665198645,145923.32487762504,65.68169364619378,3096.0712236096174
1,-89.73590898655448,904.0598005773791,13239.744865127655,946655.6487793166,3043627.0434219125,779.6950228895417,617.1686710838243,4582209.448719614,146850.58695290828,65.13581459432153,3096.0712236096174
2,-87.23590898655448,905.7092099863055,13222.416338162742,946655.6487793166,3051106.32970795,775.6698257548553,612.5247338955188,4585843.067916682,147794.6513549168,64.58865903946688,3096.0712236096174
3,-84.73590898655448,907.3777081120761,13205.006903919002,946655.6487793166,3058659.646926932,771.6267681876736,607.8565123305625,4589445.4593693055,148756.00172780585,64.04018773477662,3096.0712236096174
4,-82.23590898655448,909.0656738542461,13187.515823807804,946655.6487793166,3066288.3643138115,767.5656713089218,603.1637049621822,4593016.55756147,149735.1408441376,63.490360822701646,3096.0712236096174
5,-79.73590898655448,910.7734968191039,13169.94234186857,946655.6487793166,3073993.8883077507,763.4863532862563,598.4460039767921,4596556.294850536,150732.59156877588,62.93913781369337,3096.0712236096174
6,-77.23590898655446,912.5015766742,13152.285706854515,946655.6487793166,3081777.659891417,759.3886299798928,593.7030949859337,4600064.6014349805,151748.89789005314,62.38647756015029,3096.0712236096174
7,-74.73590898655446,914.2503252728923,13134.545132304753,946655.6487793166,3089641.1625790363,755.2723136814532,588.9346567932971,4603541.405320776,152784.62600143626,61.83233823622305,3096.0712236096174
8,-72.23590898655446,916.0201671240175,13116.71979433978,946655.6487793166,3097585.9240014507,751.1372130629136,584.1403612169078,4606986.632286735,153840.36545051436,61.27667731696411,3096.0712236096174
9,-69.73590898655446,917.8115395136257,13098.808837580003,946655.6487793166,3105613.516149829,746.983133361747,579.3198729052291,4610400.205848795,154916.7303631707,60.719451555415475,3096.0712236096174
10,-67.23590898655446,919.624891596442,13080.81140388343,946655.6487793166,3113725.551668755,742.8098772480301,574.4728491338802,4613782.047223128,156014.36075729024,60.16061695356693,3096.0712236096174
11,-64.73590898655446,921.460685851921,13062.726608877978,946655.6487793166,3121923.689220542,738.6172440902881,569.5989395443643,4617132.075287733,157133.92393362522,59.60012873607867,3096.0712236096174
12,-62.235908986554456,923.3193984764995,13044.553542490217,946655.6487793166,3130209.634746032,734.4050299723211,564.6977859088599,4620450.206542671,158276.1159585999,59.03794132260618,3096.0712236096174
13,-59.735908986554456,925.2015203258052,13026.291257724539,946655.6487793166,3138585.1448149597,730.1730273682543,559.7690218818011,4623736.35506887,159441.66324172952,58.47400830066462,3096.0712236096174
14,-57.23590898655445,927.1075654904785,13007.938594230545,946655.6487793166,3147052.0590815037,725.9210199916471,554.8122727566268,4626990.432485542,160631.32414962494,57.9082824275766,3096.0712236096174
15,-54.73590898655445,929.0380741944643,12989.494127986345,946655.6487793166,3155612.3108522296,721.6487816782837,549.8271554990077,4630212.34790787,161845.89070711128,57.34071563995058,3096.0712236096174
16,-52.23590898655445,930.9931485159975,12970.96624124551,946655.6487793166,3164266.160216834,717.3563624857725,544.813278853202,4633402.00790539,163086.19444762738,56.77125735049118,3096.0712236096174
17,-49.73590898655444,932.9729575506425,12952.36453265306,946655.6487793166,3173013.4054134637,713.0454098919128,539.7702271552307,4636559.316363653,164353.12744123902,56.1998466266587,3096.0712236096174
18,-47.23590898655444,934.9762492403243,12933.7303819208,946655.6487793166,3181848.290366956,708.7187768852839,534.6974858220692,4639684.173901491,165647.6636893641,55.62640505081978,3096.0712236096174
19,-44.73590898655444,937.0050857905022,12915.039790302593,946655.6487793166,3190779.458099478,704.3731439939193,529.5943729922705,4642776.476883713,166970.9342365815,55.050867460742275,3096.0712236096174
20,-42.235908986554435,939.0647428158755,12896.789378174226,946655.6487793166,3199829.578668656,699.9984712321249,524.4603319844493,4645836.118109756,168332.54360085656,54.472908971020665,3096.0712236096174
21,-39.735908986554435,946.2694210961112,12916.461676513143,945804.5503585447,3220453.668557902,695.583554057803,519.2924764016765,4648864.302178283,170117.95039345202,54.04125419680534,3096.0703633774115
22,-37.235908986554435,962.4330052805501,13004.18139035028,943494.2123283858,3261216.1612746026,691.4457791627498,514.062978423264,4651886.676488361,172629.0851022134,53.856128125413434,3096.067972225897
23,-34.735908986554435,988.2325585246466,13160.476364080914,939683.4905339042,3323631.230065913,687.0993989218666,508.73070599069683,4654943.018699793,175932.82497939814,53.917458383140804,3096.063842560719
24,-32.23590898655443,1026.1666968649192,13401.841054318862,934155.7744696158,3414016.6167418323,683.6703493765815,503.2461508143995,4658078.276257953,180066.65256904808,54.30656344237618,3096.0574150685807
25,-29.735908986554428,1078.5981900679799,13728.461903330874,926784.1829830412,3538071.1531493883,678.2044821523266,497.97858403927654,4661348.352164542,185293.21395108817,55.00506297516556,3096.0479631302637
26,-27.235908986554424,1147.5453758232886,14173.6766752313,917558.6412011054,3700106.125421715,674.5035630467746,492.4562937778859,4664812.290963769,191614.71573823603,56.063533786854265,3096.0345374907192
27,-24.73590898655442,1239.9884505827324,14752.616009530811,906090.7460889254,3917984.754732159,670.223583734333,486.9698937108152,4668553.2469368195,199490.24740062148,57.529469638537506,3096.014969216572
28,-22.23590898655442,1364.4783037365992,15507.751207207497,891997.1853016376,4211679.275690745,666.5331228506038,481.064269700507,4672681.062426757,209345.51815933967,59.50320795592868,3095.985638793443
29,-19.735908986554417,1532.1985350438197,16500.802637788347,875070.3368242925,4608679.673711174,662.57821970152,474.6209515165084,4677335.250128169,221644.68722051283,62.0546222870823,3095.940695260207
30,-17.235908986554417,1769.7744281381938,17862.243377457053,854074.2676714519,5168991.919045476,660.8872008694899,467.4053196709472,4682761.656977426,237036.3449670486,65.6867495199284,3095.8653106939164
31,-14.735908986554414,2115.060608779514,19706.968284483017,828525.0333631046,5988830.699134201,658.7219430752928,460.4533900509493,4689306.405575515,256999.35308007555,70.45730478459063,3095.731877526056
32,-12.235908986554412,2662.9394240074425,22397.77096823472,795739.8926340996,7291082.40803835,658.6010084779444,452.189930301634,4697633.804557419,284461.65166006406,77.14719735217061,3095.4567128885465
33,-9.73590898655441,3600.068547716023,26696.77131954602,752336.9344311673,9507805.694751982,665.3276080109273,441.9577264026637,4708900.193019296,322048.9744064927,87.24486080909656,3094.7825635897775
34,-7.235908986554406,5423.456505441816,33774.455907345364,689422.566715501,13812570.912913864,674.4341973435239,431.08880552791067,4725488.15720327,376515.72267791757,102.91970735235572,3092.597476195163
35,-4.735908986554405,8330.587845155382,43518.360727619445,601535.1050680277,20524136.43051559,694.5560466276335,417.7010919467519,4749748.23944919,436166.60970059223,122.36320804637492,3085.2685844002785
36,-2.2359089865544024,10754.412150758482,50206.508580147296,496790.9948530024,25914608.3848476,705.7853904604447,406.19755965262624,4782673.292059626,479202.46358398104,132.61948708666256,3068.551195308754
37,0.2640910134455998,11313.075397242583,51850.60745408301,418756.26409779204,26913832.151999027,699.9250410121517,393.5711796163049,4822754.8802965665,500855.9701232189,129.7674456216768,3041.19187593869
38,2.764091013445602,9074.339318336306,45100.48103946041,248274.57376705867,21262339.20626855,657.4368225363754,379.72577964638174,4865740.341363265,486330.4125208797,112.23841403313675,2970.925729710961
39,5.264091013445604,7475.704474763922,39850.717815135315,192390.12241523163,17467569.269722603,628.7085490461855,367.8833660264664,4897056.594345363,472848.8399142757,98.67602611743334,2937.290266021882
40,7.764091013445606,6311.710959348771,35841.06132078281,157954.51797047415,14726289.714199284,606.242977398293,357.5269162997103,4920711.698075053,462089.4386630642,87.75262213021158,2912.0167707661967
41,10.264091013445608,5434.821847974468,32576.785038275273,133790.0510898099,12689727.372875698,582.4707681266635,347.26645436847343,4939174.083538247,454053.21335730574,78.52558076729457,2891.305957150764
